Symbol	Class
#2_2_11	Param
#1_2_12	Param
#2_2_12	Param
#1_2_13	Param
#2_2_13	Param
#1_2_14	Param
#2_2_14	Param
#1_2_15	Param
#2_2_15	Param
#1_2_16	Param
#2_2_16	Param
#1_2_17	Param
#2_2_17	Param
#1_2_18	Param
#2_2_18	Param
#1_2_19	Param
#2_2_19	Param
#1_1_0	Param
#2_1_0	Param
#1_1_1	Param
#2_1_1	Param
#1_1_2	Param
#2_1_2	Param
#1_1_3	Param
#2_1_3	Param
#1_1_4	Param
#2_1_4	Param
#1_1_5	Param
#2_1_5	Param
#1_1_6	Param
#2_1_6	Param
#1_1_7	Param
#2_1_7	Param
#1_1_8	Param
#2_1_8	Param
#1_1_9	Param
#2_1_9	Param
#1_1_10	Param
#2_1_10	Param
#1_1_11	Param
#2_1_11	Param
#1_1_12	Param
#2_1_12	Param
#1_1_13	Param
#2_1_13	Param
#1_1_14	Param
#2_1_14	Param
#1_1_15	Param
#2_1_15	Param
#1_1_16	Param
#2_1_16	Param
#1_1_17	Param
#2_1_17	Param
#1_1_18	Param
#2_1_18	Param
#1_1_19	Param
#2_1_19	Param
#1_0_0	Param
#2_0_0	Param
#3_0_0	Param
#1_0_1	Param
#2_0_1	Param
#3_0_1	Param
#1_0_2	Param
#2_0_2	Param
#3_0_2	Param
#1_0_3	Param
#2_0_3	Param
#3_0_3	Param
#1_0_4	Param
#2_0_4	Param
#3_0_4	Param
#1_0_5	Param
#2_0_5	Param
#3_0_5	Param
#1_0_6	Param
#2_0_6	Param
#3_0_6	Param
#1_0_7	Param
#2_0_7	Param
#3_0_7	Param
#1_0_8	Param
#2_0_8	Param
#3_0_8	Param
#1_0_9	Param
#2_0_9	Param
#3_0_9	Param
#1_0_10	Param
#2_0_10	Param
#3_0_10	Param
#1_0_11	Param
#2_0_11	Param
#3_0_11	Param
#1_0_12	Param
#2_0_12	Param
#3_0_12	Param
#1_0_13	Param
#2_0_13	Param
#3_0_13	Param
#1_0_14	Param
#2_0_14	Param
#3_0_14	Param
#1_0_15	Param
#2_0_15	Param
#3_0_15	Param
#1_0_16	Param
#2_0_16	Param
#3_0_16	Param
#1_0_17	Param
#2_0_17	Param
#3_0_17	Param
#1_0_18	Param
#2_0_18	Param
#3_0_18	Param
#1_0_19	Param
#2_0_19	Param
#3_0_19	Param
